"Product","Brand","Ingredients","Price","Rev_score","Size","Rev_count"
"All Nighter Long-Lasting Makeup Setting Spray","Urban Decay Cosmetics","Aqua / Water, Alcohol Denat., PVP, Dimethicone PEG-7 Phosphate, PPG-3 Benzyl Ether Myristate, Polyhydroxystearic Acid, Dipropylene Glycol, Isononyl Isononanoate, Ethylhexyl Isononanoate, Caprylyl Glycol, Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate, Methyl Methacrylate Crosspolymer, Glycereth-5 Lactate, Sodium Hydroxide, Phenylpropanol, Parfum / Fragrance, Propanediol, Methyl Diisopropyl Propionamide, Poloxamer 407, Aloe Barbadensis Leaf Juice Powder, Maltodextrin, Hexyl Cinnamal, Linalool, Citronellol, Limonene, Benzyl Alcohol, Tocopherol, Potassium Sorbate, Sodium Benzoate, BHT.",33,93,4,1454
"Double Duty Beauty Shape Tape Concealer & Sponge Set","Tarte","Light-Medium: Water/Aqua/Eau, Cyclopentasiloxane, Cyclohexasiloxane, Methyl Methacrylate Crosspolymer, Butylene Glycol, PEG-10 Dimethicone, Trimethylsiloxysilicate, Sodium Chloride, Cetyl PEG/PPG-10/1 Dimethicone, 1,2-Hexanediol, Aluminum Hydroxide, Amyl Cinnamal, Benzyl Salicylate, Butyrospermum Parkii (Shea) Butter, Convallaria Majalis Bulb/Root Extract, Dimethicone/Vinyl Dimethicone Crosspolymer, Disodium EDTA, Disteardimonium Hectorite, Ethylhexylglycerin, Geraniol, Glycyrrhiza Glabra (Licorice) Root Extract, Helianthus Annuus (Sunflower) Seed Oil, Hexyl Cinnamal, Hydroxycitronellal, Leontopodium Alpinum Flower/Leaf Extract, Lilium Candidum Flower Extract, Limonene, Linalool, Magnolia Liliflora Flower Extract, Mangifera Indica (Mango) Seed Butter, Olea Europaea (Olive) Fruit Oil, Paeonia Lactiflora Root Extract, Parfum/Fragrance, Phenoxyethanol, TBHQ, tocopherol, Triethoxycaprylylsilane, Triethyl Citrate, Ulmus Davidiana Root Extract. (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",29,93,NA,147
"Bye Bye Foundation Full Coverage Moisturizer with SPF 50+","It Cosmetics","Active: Titanium Dioxide 9.0%, Zinc Oxide 6.3%. Inactive: Aqua/Water/Eau, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate, Cetyl PEG/PPG-10/1 Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Citrus Limon (Lemon) Peel Oil, Tocopheryl Acetate, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium Edta, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil, Niacinamide, Hydrolyzed Hyaluronic Acid, Lactobacillus/Kelp Ferment Filtrate, Saccharomyces/Rice Ferment Filtrate, Hydrolyzed Silk, Aloe Barbadensis Leaf Extract, Cholesteryl Nonanoate, Cholesteryl Isostearate, Cholesteryl Chloride, Punica Granatum Seed Oil, Lactobacillus/Pumpkin Ferment Extract, Cholesterol, Vitis Vinifera (Grape) Seed Oil, Cholesteryl Oleyl Carbonate, Persea Gratissima (Avocado) Oil, Pinus Sylvestris Leaf Oil, Polymethylsilsesquioxane, Anthemis Nobilis Flower Water, Lactobacillus/Dipteryx Odorata Seed Ferment Filtrate, Panax Ginseng Root Extract, Avena Sativa (Oat) Kernel Extract, Cocos Nucifera (Coconut) Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Hydrolyzed Collagen, Caprylhydroxamic Acid, Tocopherol, Thiamine HCl, Riboflavin, Retinyl Palmitate, Pantothenic Acid, Niacin, Folic Acid, Carnitine HCl, Biotin, Ascorbic Acid, Bacillus/Cordyceps Sinensis/Ganoderma Lucidum/Inonotus Obliquus/Lentinus Edodes/Phellinus Linteus/Schizophyllum Commune/Tricholoma Matsutake Extract Ferment Filtrate, Phaseolus Angularis Seed Extract, Lactobacillus/Rice Ferment Filtrate, Saccharomyces/Camellia Sinensis Extract Ferment Filtrate, Lactobacillus Ferment, Lactobacillus/Centella Asiatica/Gleditsia Sinensis Thorn/Houttuynia Cordata Extract/Phellodendron Amurense Bark/Polygonum Cuspidatum Root/Prunella Vulgaris/Torilis Japonica Extract Ferment Filtrate, Eucalyptus Globulus Leaf Oil, Curcuma Longa (Turmeric) Root Extract, Magnolia Kobus Bark Extract, Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate, Glycine Soja (Soybean) Sprout Extract, Perfluorohexane, Glycerin, Leuconostoc/Radish Root Ferment Filtrate, Camellia Sinensis Leaf Extract, Silk Extract, Perfluorodecalin, Olea Europaea (Olive) Leaf Extract, Chrysanthemum Indicum Flower Extract, Diamond Powder, Morus Alba Fruit Extract, Pueraria Lobata Root Extract, Cinnamomum Cassia Bark Extract, Artemisia Princeps Leaf Extract, Diospyros Kaki Leaf Extract, N-Hydroxysuccinimide, Palmitoyl Oligopeptide, Chrysin, Palmitoyl Tetrapeptide-7, Pentafluoropropane, Steareth-20, Citric Acid, Sodium Benzoate, Potassium Sorbate, Chlorhexidine Digluconate. May Contain: Iron Oxides (CI 77492, CI 77491, CI 77499).",39.5,80,1.014,1316
"Teint Idole Ultra Liquid 24H Longwear SPF 15 Foundation","Lancôme","Aqua / Water / Eau, Cyclohexasiloxane, Alcohol Denat., Isododecane, Butylene Glycol, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, Nylon-12, Ethylhexyl Methoxycinnamate, PEG-10 Dimethicone, Isohexadecane, Silica [Nano] / Silica, Perlite, Aluminum Hydroxide, Magnesium Sulfate, Disodium Stearoyl Glutamate, Cetyl PEG/PPG-10/1 Dimethicone, Bht, Pentaerythrityl Tetra-Di-T-Butyl, Hydroxyhydrocinnamate. May Contain: CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77891 / Titanium Dioxide.",47,89,1,2588
"Amazonian Clay Full Coverage Foundation SPF 15","Tarte","Active: Titanium Dioxide 6%, Zinc Oxide 3%. Inactive: Water, Cyclopentasiloxane, Octyldodecyl Neopentanoate Butylene Glycol, Polyglyceryl-4 Isostearate, Dimethicone Crosspolymer, PEG/PPG-18/18 Dimethicone, Mica, Dimethicone, Silica, Phenoxyethanol, Cetyl PEG/PPG-10/1 Dimethicone, Stearic Acid, Aluminum Hydroxide, Sodium Dehydroacetate, Caprylyl Glycol, Phytantriol, Hexyl Laurate, Triethoxycaprylylsilane, Sodium Chloride, Hexylene Glycol, Lysine, Tocopherol, Tetrahexyldecyl Ascorbate, Nylon-12 Fluorescent Brightener 230 Salt, Polyvinylalcohol Crosspolymer, Kaolin, Magnesium Chloride, Potassium Chloride, Zinc Chloride, Sodium Hyaluronate, Potassium Sorbate, Iron Oxides.",39,87,1.7,6850
"CC+ Cream Illumination SPF 50+","It Cosmetics","Active: Titanium Dioxide 9.0% Zinc Oxide 6.3%. Inactive: Water, Snail Secretion Filtrate, Phenyl Trimethicone, Dimethicone, Butylene Glycol, Butylene Glycol Dicaprylate/Dicaprate, Orbignya Oleifera Seed Oil, Butyloctyl Salicylate, Cetyl PEG/PPG-10/1 Dimethicone, Cyclopentasiloxane, Cyclohexasiloxane, Magnesium Sulfate, Polyglyceryl-4 Isostearate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Hydroxide, Hexyl Laurate, Stearic Acid, Calcium Stearate, Caprylyl Glycol, Triethoxycaprylylsilane, Ethylhexylglycerin, Citrus Medica Limonum (Lemon) Peel Oil, Tocopheryl Acetate, Sorbitan Isostearate, Phenoxyethanol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, 1,2-Hexanediol, Disodium EDTA, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantifolia (Lime) Oil, Vitis Vinifera (Grape) Seed Oil, Punica Granatum Seed Oil, Pinus Sylvestris Leaf Oil, Persea Gratissima (Avocado) Oil, Niacinamide, Citrus Grandis (Grapefruit) Peel Oil, Cholesterol, Anthemis Nobilis Flower Water, Lactobacillus/Honeysuckle Flower/Licorice Root/Morus Alba Root/Pueraria Lobata Root/Schizandra Chinensis Fruit/Scutellaria Baicalensis Root/Sophora Japonica Flower Extract Ferment Filtrate, Perfluorohexane, Olea Europaea (Olive) Leaf Extract, Glycerin, Eucalyptus Globulus Leaf Oil, Camellia Sinensis Leaf Extract, Chrysanthemum Indicum Flower Extract, Pueraria Lobata Root Extract, Perfluorodecalin, Morus Alba Fruit Extract, Magnolia Kobus Bark Extract, Glycine Soja (Soybean) Sprout Extract, Diospyros Kaki Leaf Extract, Cinnamomum Cassia Bark Extract, Artemisia Princeps Leaf Extract, Pentafluoropropane, Curcuma Longa (Turmeric) Root Extract, Steareth-20, Hydrolyzed Hyaluronic Acid, Colloidal Oatmeal, Hydrolyzed Silk, Citric Acid, Sodium Benzoate, Potassium Sorbate, Aloe Barbadensis Leaf Extract, N-Hydroxysuccinimide, Hydrolyzed Collagen, Caprylhydroxamic Acid, Tocopherol, Thiamine Hcl, Riboflavin, Retinyl Palmitate, Pantothenic Acid, Palmitoyl Oligopeptide, Niacin, Folic Acid, Chrysin, Carnitine Hcl, Biotin, Ascorbic Acid, Palmitoyl Tetrapeptide-7, Chlorhexidine Digluconate. May Contain: Mica, Iron Oxides (CI 77492, CI 77491, CI 77499).",39,85,1.08,3740
"Hoola Matte Bronzing Powder","Benefit Cosmetics","Original: Talc, Iron Oxides (CI 77491-CI 77492-CI 77499), Zinc Stearate, Ethylhexyl Palmitate, Titanium Dioxide (CI 77891), Dimethicone, Manganese Violet (CI 77742), Methylparaben, Sodium Dehydroacetate, Boron Nitride, Propylparaben, Butylparaben.",NA,95,0.28,1333
"The POREfessional Face Primer","Benefit Cosmetics","Cyclopentasiloxane, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Isononyl Isononanoate, Silica, Dimethicone Crosspolymer, Isododecane, Phenoxyethanol, Polymethyl Methacrylate, Titanium Dioxide (CI 77891), Cyclohexasiloxane, Tocopheryl Acetate, Fragrance (Parfum), Mica, Iron Oxides (CI 77492), Limonene, Iron Oxides (CI 77491), Iron Oxides (CI 77499), Triethoxycaprylylsilane, BHT.",32,89,0.75,3621
"Studio Fix Fluid SPF 15 Foundation","MAC","Octinoxate 2.50%, Titanium Dioxide 1.00%Water / Aqua / Eau, Cyclopentasiloxane, PEG-10 Dimethicone, Butylene Glycol, Trimethylsiloxysilicate, Dimethicone, Magnesium Sulfate, Laminaria Saccharina Extract, Algae Extract, Tocopheryl Acetate, Sodium Hyaluronate, Tocopherol, Lecithin, Hydrogenated Lecithin, Xanthan Gum, Sorbitan Sesquioleate, Methoxy Amodimethicone / Silsesquioxane Copolymer, Laureth-7, Dipropylene Glycol, Dimethicone / PEG-10 / 15 Crosspolymer, Dimethicone / PEG-10 Crosspolymer, PEG / PPG-18 / 18 Dimethicone, Disteardimonium Hectorite, Silica, Dimethicone Crosspolymer, Triethoxycaprylylsilane, Propylene Carbonate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sorbic Acid, Chloroxylenol, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Chromium Oxide Greens (CI 77288).

Please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",31,82,1,741
"Matte Foundation Broad Spectrum SPF 15","BareMinerals","Fair: Active: Titanium Dioxide 15%, Zinc Oxide 5%. Inactive: Lauroyl Lysine, Silica, Calcium Silicate. May Contain: Mica, Titanium Dioxide, Iron Oxides.",31,94,0.21,6324
"Prep + Prime Fix+","MAC","Cucumber: Water\Aqua\Eau, Glycerin, Butylene Glycol, Cucumis Sativus (Cucumber) Fruit Extract, Chamomilla Recutita (Matricaria) Extract, Camellia Sinensis (Green Tea) Leaf Extract, Tocopheryl Acetate, Caffeine , Panthenol, Arginine, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Fragrance (Parfum), Sodium Citrate, Polydextrose, Caprylyl Glycol, Citric Acid, Geraniol, Linalool, Hexyl Cinnamal, Disodium EDTA, Phenoxyethanol.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",28,87,3.4,620
"4-in-1 Pressed Mineral Powder Foundation SPF 15","PÜR","Porcelain: Active: Titanium Dioxide 17.0%. Inactive: Mica, Bismuth Oxychloride, Caprylic/Capric Triglyceride, Boron Nitride, Zinc Stearate, Magnesium Silicate, Sodium Starch Octenylsuccinate, Mannitol, Sodium Gluconate, Citric Acid, Sodium Citrate, Waltheria Indica Leaf Extract, Dextrin, Ferulic Acid, Lactic Acid (L), Butyrospermum Parkii (Shea) Butter, Retinol, Ceramide AP, Silica, Tocopheryl Acetate, Aqua, Glucosamine HCI, Pisum Sativum (Pea) Extract, Bambusa Vulgaris Leaf/Stem Extract, Magnesium Carbonate, Iron Oxides (CI 77491, CI 77492, CI 77499).",29.5,93,0.28,4634
"Radiant Creamy Concealer","NARS","Water/Aqua/Eau, Dimethicone, Hydrogenated Polydecene, Propanediol, Butylene Glycol, PEG-9 Polydimethylsiloxyethyl Dimethicone, Glycerin, Disteardimonium Hectorite, PEG-10 Dimethicone, Methyl Methacrylate Crosspolymer, Bis-Butyldimethicone Polyglyceryl-3, Sorbitan Sesquiisostearate, Vitis Vinifera (Grape) Seed Extract, Magnolia Officinalis Bark Extract, Tocopherol, Tocopheryl Acetate, Lecithin, Sodium Metabisulfite, Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Triethoxycaprylylsilane, Isostearic Acid, Maltodextrin, Polysilicone-2, Aluminum Hydroxide, Trisodium EDTA, Tin Oxide, Phenoxyethanol. [+/- (May Contain/Peut Contenir): Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499)].",30,90,0.22,662
"Poreless Putty Primer","e.l.f. Cosmetics","Water (Aqua), Cyclopentasiloxane, Ceresin, Dimethicone, Glycerin, Hydrogenated Polyisobutene, HDI/Trimethylol Hexyllactone Crosspolymer, Polymethylsilsesquioxane, Trimethylsiloxysilicate, Propylene Glycol, Lauryl PEG-10 Tris(trimethylsiloxy)silylethyl Dimethicone, Sodium Chloride, Camellia Sinensis Leaf Extract , Squalane, Oryza Sativa (Rice) Bran Wax, Dimethicone/PEG-10/15 Crosspolymer, Dimethicone Crosspolymer, Silica, Triethoxycaprylylsilane, Talc, Butylene Glycol, Disodium EDTA, Caprylyl Glycol, Ethylhexylglycerin, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",8,79,0.74,307
"4-In-1 Love Your Selfie Longwear Foundation & Concealer","PÜR","Aqua, Cyclopentasiloxane, Methyl Methacrylate Crosspolymer, Butylene Glycol, Phenyl Trimethicone, Ethylhexyl Palmitate, Caprylyl Methicone, Cetyl PEG/PPG-10/1 Dimethicone, Cyclohexasiloxane, Diphenylsiloxy Phenyl Trimethicone, PEG-10 Dimethicone, Sorbitan Isostearate, Trimethylsiloxysilicate, Sodium Chloride, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethicone, Ceramide Ap, Retinol, Lactic Acid, Butyrospermum Parkii (Shea) Butter Extract, Sodium Starch Octenylsuccinate, Camellia Sinensis (Green Tea) Leaf Extract, Panax Ginseng Root Extract, Panthenol (Vitamin B), Vaccinium Vitis-Idaea (Lingonberry) Fruit Extract, Disteardimonium Hectorite, Triethoxycaprylylsilane, Aluminum Hydroxide, Coffea Arabica (Coffee) Seed Extract, Oryza Sativa (Rice) Bran Extract, Lauroyl Lysine, Helianthus Annuus (Sunflower) Seed Oil, Olea Europaea (Olive) Fruit Oil, Tuber Melanosporum Extract, Vitis Vinifera (Grape) Fruit Extract, Calcium Gluconate, Phenoxyethanol, Glycerin, Triethyl Citrate, Ethylhexylglycerin, Disodium EDTA, Citric Acid, Xanthan Gum, Gluconolactone, Sodium Benzoate, 1, 2-Hexanediol, Biosaccharide Gum-4, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499).",36,70,1,132
"Babassu Foundcealer Skincare Foundation Broad Spectrum SPF 20","Tarte","Water, Phenyl Trimethicone, Butylene Glycol, Dimethicone, Butylene Glycol Dicaprylate/Dicaprate, Butyloctyl Salicylate, Cyclohexasiloxane, Cetyl PEG/PPG-10/1 Dimethicone, Bis-Diglyceryl Polyacyladipate-2, Aluminum Hydroxide, Methyl Methacrylate Crosspolymer, Orbignya Oleifera (Babassu) Seed Oil, Polypropylsilsesquioxane, Sodium Chloride, Stearic Acid, Polyglyceryl-4 Isostearate, Hexyl Laurate, Dimethicone/Vinyl Dimethicone Crosspolymer, Calcium Stearate, Disteardimonium Hectorite, Triethoxycaprylylsilane, Sodium Benzoate, Potassium Sorbate, Tocopherol, Polyhydroxystearic Acid, Helianthus Annuus (Sunflower) Seed Oil, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Disodium EDTA, Cyclopentasiloxane, Polyglyceryl-3 Polyricinoleate, Kaolin, Cyclotetrasiloxane, Phenoxyethanol, Sodium Hyaluronate, Ethylhexylglycerin, Hydrolyzed Hyaluronic Acid, Titanium Dioxide, Iron Oxides.",39,75,1,138
